7H,16726,7182,3693,Y
7H,16726,7188,7185,Y
7H,16726,7188,3615,Y
7H,16726,6725,6719,Y
8E,1472,7177,3693,
8E,1472,7177,7117,
8E,1472,7178,6755,
8E,1472,7178,3693,
8E,1472,6755,7178,
8E,1472,6755,3693,
8E,1472,7184,7185,
8E,1472,7184,7190,
8E,1472,7184,3615,
8E,1472,6715,3615,
8E,1472,6715,6724,
8E,1472,7185,7184,
8E,1472,7185,7188,
8E,1472,7179,7181,
8E,1472,7179,3693,
8E,1472,7190,3615,
8E,1472,7190,7192,
8E,1472,7183,3615,
8E,1472,7183,7187,
8E,1472,6719,3693,
8E,1472,3413,3693,
8E,1472,7180,7177,
8E,1472,7180,3693,
8E,1472,3615,7184,
8E,1472,3615,6715,
8E,1472,3615,7190,
8E,1472,3615,3693,
8E,1472,3615,6723,
8E,1472,3615,6724,
8E,1472,3615,7186,
8E,1472,3615,7194,
8E,1472,3615,7088,
8E,1472,3615,7188,
8E,1472,7181,7179,
8E,1472,7181,3693,
8E,1472,3693,7177,
8E,1472,3693,7178,
8E,1472,3693,6755,
8E,1472,3693,7179,
8E,1472,3693,6719,
8E,1472,3693,3615,
8E,1472,3693,7181,
8E,1472,3693,7117,
8E,1472,3693,7182,
8E,1472,3693,6725,
8E,1472,7117,7180,
8E,1472,6723,3615,
8E,1472,7192,7190,
8E,1472,7192,3615,
8E,1472,7192,7088,
8E,1472,7191,7088,
8E,1472,6724,6715,
8E,1472,6724,3615,
8E,1472,7186,7183,
8E,1472,7194,7187,
8E,1472,7088,3615,
8E,1472,7088,7192,
8E,1472,7088,7191,
8E,1472,7187,3615,
8E,1472,7187,6723,
8E,1472,7182,3693,
8E,1472,7188,7185,
8E,1472,7188,3615,
8E,1472,6725,6719,
8E,1472,6725,3693,
8P,3856,6738,5457,
8P,3856,6738,156,
8P,3856,5457,156,
8P,3856,30,119,
8P,3856,30,156,
8P,3856,87,164,
8P,3856,5523,156,
8P,3856,119,30,
8P,3856,119,156,
8P,3856,156,6738,
8P,3856,156,30,
